train_start,train_end,test_start,test_end,train_months
2017-06-30,2019-05-31,2019-06-30,2019-08-31,24
2017-09-30,2019-08-31,2019-09-30,2019-11-30,24
2017-12-31,2019-11-30,2019-12-31,2020-02-29,24
2018-03-31,2020-02-29,2020-03-31,2020-05-31,24
2018-06-30,2020-05-31,2020-06-30,2020-08-31,24
2018-09-30,2020-08-31,2020-09-30,2020-11-30,24
2018-12-31,2020-11-30,2020-12-31,2021-02-28,24
2019-03-31,2021-02-28,2021-03-31,2021-05-31,24
2019-06-30,2021-05-31,2021-06-30,2021-08-31,24
2019-09-30,2021-08-31,2021-09-30,2021-11-30,24
2019-12-31,2021-11-30,2021-12-31,2022-02-28,24
2020-03-31,2022-02-28,2022-03-31,2022-05-31,24
2020-06-30,2022-05-31,2022-06-30,2022-08-31,24
2020-09-30,2022-08-31,2022-09-30,2022-11-30,24
2020-12-31,2022-11-30,2022-12-31,2023-02-28,24
2021-03-31,2023-02-28,2023-03-31,2023-05-31,24
2021-06-30,2023-05-31,2023-06-30,2023-08-31,24
2021-09-30,2023-08-31,2023-09-30,2023-11-30,24
2021-12-31,2023-11-30,2023-12-31,2024-02-29,24
2022-03-31,2024-02-29,2024-03-31,2024-05-31,24
2022-06-30,2024-05-31,2024-06-30,2024-08-31,24
2022-09-30,2024-08-31,2024-09-30,2024-11-30,24
2022-12-31,2024-11-30,2024-12-31,2024-12-31,24
